"vx","vy","Points:0","Points:1","Points:2"
-1.3789819336e+02,6.6046246338e+02,-2.7880675000e+05,-9.2502312500e+05,0.0000000000e+00
-1.3820495605e+02,6.6232336426e+02,-2.7879653125e+05,-9.2507206250e+05,0.0000000000e+00
-1.3851071167e+02,6.6422705078e+02,-2.7878631250e+05,-9.2512100000e+05,0.0000000000e+00
-1.3881546021e+02,6.6617358398e+02,-2.7877612500e+05,-9.2516993750e+05,0.0000000000e+00
-1.3911920166e+02,6.6816278076e+02,-2.7876593750e+05,-9.2521893750e+05,0.0000000000e+00
-1.3942192078e+02,6.7019458008e+02,-2.7875575000e+05,-9.2526787500e+05,0.0000000000e+00
-1.3972360229e+02,6.7226892090e+02,-2.7874556250e+05,-9.2531681250e+05,0.0000000000e+00
-1.4002424622e+02,6.7438574219e+02,-2.7873537500e+05,-9.2536575000e+05,0.0000000000e+00
-1.4032385254e+02,6.7654486084e+02,-2.7872521875e+05,-9.2541475000e+05,0.0000000000e+00
-1.4062239075e+02,6.7874627686e+02,-2.7871509375e+05,-9.2546368750e+05,0.0000000000e+00
-1.4090946960e+02,6.8097052002e+02,-2.7870493750e+05,-9.2551262500e+05,0.0000000000e+00
-1.4115768433e+02,6.8312829590e+02,-2.7869481250e+05,-9.2556162500e+05,0.0000000000e+00
-1.4139227295e+02,6.8524407959e+02,-2.7868471875e+05,-9.2561056250e+05,0.0000000000e+00
-1.4161326599e+02,6.8731799316e+02,-2.7867459375e+05,-9.2565956250e+05,0.0000000000e+00
-1.4182067871e+02,6.8935003662e+02,-2.7866453125e+05,-9.2570850000e+05,0.0000000000e+00
-1.4201454163e+02,6.9134039307e+02,-2.7865446875e+05,-9.2575750000e+05,0.0000000000e+00
-1.4219487000e+02,6.9328906250e+02,-2.7864440625e+05,-9.2580650000e+05,0.0000000000e+00
-1.4236170959e+02,6.9519604492e+02,-2.7863437500e+05,-9.2585543750e+05,0.0000000000e+00
-1.4251506042e+02,6.9706158447e+02,-2.7862434375e+05,-9.2590443750e+05,0.0000000000e+00
-1.4265496826e+02,6.9888562012e+02,-2.7861434375e+05,-9.2595343750e+05,0.0000000000e+00
-1.4277796936e+02,7.0064886475e+02,-2.7860434375e+05,-9.2600243750e+05,0.0000000000e+00
-1.4282511902e+02,7.0201770020e+02,-2.7859437500e+05,-9.2605143750e+05,0.0000000000e+00
-1.4286746216e+02,7.0338342285e+02,-2.7858440625e+05,-9.2610043750e+05,0.0000000000e+00
